    4.7000;    0.4137;    0.8959;    0.7903;
    4.8000;    0.4171;    0.8912;    0.7854;
    4.9000;    0.4217;    0.8866;    0.7810;
    5.0000;    0.4275;    0.8820;    0.7770;
    5.1000;    0.4343;    0.8775;    0.7735;
    5.2000;    0.4424;    0.8731;    0.7705;
    5.3000;    0.4515;    0.8688;    0.7680;
    5.4000;    0.4618;    0.8647;    0.7661;
    5.5000;    0.4732;    0.8608;    0.7648;
    5.6000;    0.4858;    0.8570;    0.7641;
    5.7000;    0.4995;    0.8535;    0.7641;
    5.8000;    0.5142;    0.8502;    0.7646;
    5.9000;    0.5300;    0.8471;    0.7658;
    6.0000;    0.5469;    0.8442;    0.7677;
    6.1000;    0.5648;    0.8416;    0.7702;
    6.2000;    0.5837;    0.8392;    0.7733;
    6.3000;    0.6036;    0.8371;    0.7771;
    6.4000;    0.6244;    0.8353;    0.7815;
    6.5000;    0.6460;    0.8338;    0.7866;
    6.6000;    0.6686;    0.8325;    0.7923;
    6.7000;    0.6919;    0.8316;    0.7985;
    6.8000;    0.7160;    0.8309;    0.8054;
    6.9000;    0.7408;    0.8305;    0.8129;
    7.0000;    0.7662;    0.8303;    0.8209;
    7.1000;    0.7923;    0.8305;    0.8294;
    7.2000;    0.8190;    0.8309;    0.8384;
    7.3000;    0.8461;    0.8316;    0.8479;
    7.4000;    0.8737;    0.8326;    0.8579;
    7.5000;    0.9017;    0.8339;    0.8682;
    7.6000;    0.9300;    0.8354;    0.8790;
    7.7000;    0.9586;    0.8371;    0.8901;
    7.8000;    0.9875;    0.8391;    0.9016;
    7.9000;    1.0164;    0.8413;    0.9133;
    8.0000;    1.0455;    0.8437;    0.9253;
    8.1000;    1.0747;    0.8463;    0.9376;
    8.2000;    1.1038;    0.8491;    0.9500;
    8.3000;    1.1328;    0.8522;    0.9625;
    8.4000;    1.1617;    0.8553;    0.9752;
    8.5000;    1.1903;    0.8587;    0.9880;
    8.6000;    1.2188;    0.8622;    1.0008;
    8.7000;    1.2469;    0.8658;    1.0137;
    8.8000;    1.2746;    0.8696;    1.0265;
    8.9000;    1.3019;    0.8734;    1.0393;
    9.0000;    1.3287;    0.8774;    1.0520;
    9.1000;    1.3550;    0.8814;    1.0645;
    9.2000;    1.3807;    0.8855;    1.0770;
    9.3000;    1.4057;    0.8897;    1.0892;
    9.4000;    1.4301;    0.8939;    1.1012;
    9.5000;    1.4537;    0.8982;    1.1130;
    9.6000;    1.4765;    0.9024;    1.1245;
    9.7000;    1.4985;    0.9067;    1.1358;
    9.8000;    1.5196;    0.9110;    1.1467;
    9.9000;    1.5397;    0.9152;    1.1572;
   10.0000;    1.5590;    0.9195;    1.1674;
   10.1000;    1.5772;    0.9236;    1.1772;
   10.2000;    1.5945;    0.9278;    1.1866;
   10.3000;    1.6106;    0.9319;    1.1956;
   10.4000;    1.6257;    0.9359;    1.2041;
   10.5000;    1.6397;    0.9398;    1.2121;
   10.6000;    1.6526;    0.9437;    1.2197;
   10.7000;    1.6643;    0.9475;    1.2268;
   10.8000;    1.6748;    0.9511;    1.2334;
   10.9000;    1.6842;    0.9547;    1.2395;
   11.0000;    1.6923;    0.9581;    1.2451;
   11.1000;    1.6992;    0.9615;    1.2502;
   11.2000;    1.7050;    0.9647;    1.2547;
